Actor Name,Year,Pivotal Year?,Total Receipts ($),H3: Yearly Growth (%),H3a: Rolling Volatility (3-Year Window)
Shooters,2017,No,27600,-0.6948792783231627,47.45323396624993
Shooters,2018,No,167806,5.079927536231884,312.0021289020862
Shooters,2019,No,110014,-0.3443976973409771,323.7656954332213
Shooters,2020,No,46322,-0.5789444979729853,320.15920295161476
Shooters,2021,No,90331,0.9500669228444367,82.34608652498905
Shooters,2022,No,53202,-0.4110327573036942,83.85168073195321
Shooters,2023,No,30000,-0.436111424382542,79.31699785420857
Wilkie,2010,Yes,59968,NA,NA
Wilkie,2013,No,170565,1.8442669423692637,NA
Wilkie,2016,No,175644.91999999998,0.029782898015419244,NA
Wilkie,2019,No,116302,-0.3378573089389661,116.8273506585084
Wilkie,2021,No,4290,-0.9631132740623549,50.19872429020715
Wilkie,2022,No,160140,36.32867132867133,2135.221481958918
Wilkie,2023,No,12597,-0.9213375796178344,2151.837241263441
Wilkie,2025,No,66861,4.3076923076923075,2016.7006944892205
